Phil Bardsley,Defender,44,Phil Bardsley - Burnley,126
Ben Gibson,Defender,44,Ben Gibson - Burnley,126
Kevin Long,Defender,44,Kevin Long - Burnley,126
Matthew Lowton,Defender,44,Matthew Lowton - Burnley,126
Ben Mee,Defender,44,Ben Mee - Burnley,126
Erik Pieters,Defender,44,Erik Pieters - Burnley,126
James Tarkowski,Defender,44,James Tarkowski - Burnley,126
Charlie Taylor,Defender,44,Charlie Taylor - Burnley,126
Robbie Brady,Midfielder,44,Robbie Brady - Burnley,126
Josh Brownhill,Midfielder,44,Josh Brownhill - Burnley,126
Jack Cork,Midfielder,44,Jack Cork - Burnley,126
Steven Defour,Midfielder,44,Steven Defour - Burnley,126
Johann Berg Gudmundsson,Midfielder,44,Johann Berg Gudmundsson - Burnley,126
Robbie Leitch,Midfielder,44,Robbie Leitch - Burnley,126
Aiden O'Neill,Midfielder,44,Aiden O'Neill - Burnley,126
Ashley Westwood,Midfielder,44,Ashley Westwood - Burnley,126
Dan Agyei,Striker,44,Dan Agyei - Burnley,126
Ashley Barnes,Striker,44,Ashley Barnes - Burnley,126
Dwight McNeil,Striker,44,Dwight McNeil - Burnley,126
Jay Rodriguez,Striker,44,Jay Rodriguez - Burnley,126
Matej Vydra,Striker,44,Matej Vydra - Burnley,126
Chris Wood,Striker,44,Chris Wood - Burnley,126
Kepa Arrizabalaga,Goalkeeper,45,Kepa Arrizabalaga - Chelsea,126
Willy Caballero,Goalkeeper,45,Willy Caballero - Chelsea,126
Metaj Delac,Goalkeeper,45,Metaj Delac - Chelsea,126
Marcos Alonso,Defender,45,Marcos Alonso - Chelsea,126
Cezar Azpilicueta,Defender,45,Cezar Azpilicueta - Chelsea,126
Trevoh Chalobah,Defender,45,Trevoh Chalobah - Chelsea,126
Andreas Christensen,Defender,45,Andreas Christensen - Chelsea,126
Jake Clarke-Salter,Defender,45,Jake Clarke-Salter - Chelsea,126
Marc Guehi,Defender,45,Marc Guehi - Chelsea,126
Reece James,Defender,45,Reece James - Chelsea,126
Matt Miazga,Defender,45,Matt Miazga - Chelsea,126
Emerson Palmieri dos Santos,Defender,45,Emerson Palmieri dos Santos - Chelsea,126
Baba Rahman,Defender,45,Baba Rahman - Chelsea,126
Antonio Rudiger,Defender,45,Antonio Rudiger - Chelsea,126
Dujon Sterling,Defender,45,Dujon Sterling - Chelsea,126
Fikayo Tomori,Defender,45,Fikayo Tomori - Chelsea,126
Davide Zappacosta,Defender,45,Davide Zappacosta - Chelsea,126
Kurt Zouma,Defender,45,Kurt Zouma - Chelsea,126
Ethan Ampadu,Midfielder,45,Ethan Ampadu - Chelsea,126
Tiemoue Bakayoko,Midfielder,45,Tiemoue Bakayoko - Chelsea,126
Ross Barkley,Midfielder,45,Ross Barkley - Chelsea,126
Cristian Cuevas,Midfielder,45,Cristian Cuevas - Chelsea,126
Danny Drinkwater,Midfielder,45,Danny Drinkwater - Chelsea,126
Billy Gilmour,Midfielder,45,Billy Gilmour - Chelsea,126
Callum Hudson-Odoi,Midfielder,45,Callum Hudson-Odoi - Chelsea,126
Jorginho,Midfielder,45,Jorginho - Chelsea,126
N'Golo Kante,Midfielder,45,N'Golo Kante - Chelsea,126
Robert Kenedy Nunes Nascimento,Midfielder,45,Robert Kenedy Nunes Nascimento - Chelsea,126
Mateo Kovacic,Midfielder,45,Mateo Kovacic - Chelsea,126
Ruben Loftus-Cheek,Midfielder,45,Ruben Loftus-Cheek - Chelsea,126
Victor Moses,Midfielder,45,Victor Moses - Chelsea,126
Mason Mount,Midfielder,45,Mason Mount - Chelsea,126
Charly Musonda,Midfielder,45,Charly Musonda - Chelsea,126
Christian Pulisic,Midfielder,45,Christian Pulisic - Chelsea,126
Marco van Ginkel,Midfielder,45,Marco van Ginkel - Chelsea,126
Hakim Ziyech,Midfielder,45,Hakim Ziyech - Chelsea,126
Tammy Abraham,Striker,45,Tammy Abraham - Chelsea,126
Michy Batshuayi,Striker,45,Michy Batshuayi - Chelsea,126
Izzy Brown,Striker,45,Izzy Brown - Chelsea,126
Olivier Giroud,Striker,45,Olivier Giroud - Chelsea,126
Timo Werner,Striker,45,Timo Werner - Chelsea,126
Vicente Guaita,Goalkeeper,46,Vicente Guaita - Crystal Palace,126
Stephen Henderson,Goalkeeper,46,Stephen Henderson - Crystal Palace,126
Wayne Hennessey,Goalkeeper,46,Wayne Hennessey - Crystal Palace,126
Gary Cahill,Defender,46,Gary Cahill - Crystal Palace,126
Scott Dann,Defender,46,Scott Dann - Crystal Palace,126
Nathaniel Ferguson,Defender,46,Nathaniel Ferguson - Crystal Palace,126
Jaroslaw Jach,Defender,46,Jaroslaw Jach - Crystal Palace,126
Martin Kelly,Defender,46,Martin Kelly - Crystal Palace,126
Tyrick Mitchell,Defender,46,Tyrick Mitchell - Crystal Palace,126
Jairo Riedewald,Defender,46,Jairo Riedewald - Crystal Palace,126
Mamadou Sakho,Defender,46,Mamadou Sakho - Crystal Palace,126
Jeffrey Schlupp,Defender,46,Jeffrey Schlupp - Crystal Palace,126
James Tomkins,Defender,46,James Tomkins - Crystal Palace,126
Patrick van Aanholt,Defender,46,Patrick van Aanholt - Crystal Palace,126
Joel Ward,Defender,46,Joel Ward - Crystal Palace,126
