Rajiv van La Parra,Midfielder,10
Danny Williams,Midfielder,10
Isiah Brown ,Striker,10
Laurent Depoitre,Striker,10
Elias Kachunga,Striker,10
Joe Lolley,Striker,10
Steve Mounie,Striker,10
Kasey Palmer,Striker,10
Collin Quaner,Striker,10
Sean Scannell,Striker,10
Eldin Jakupovic,Goalkeeper,11
Kasper Schmeichel,Goalkeeper,11
Yohan Benalouane,Defender,11
Ben Chilwell,Defender,11
Aleksandar Dragovic,Defender,11
Jonny Evans,Defender,11
Christian Fuchs,Defender,11
Harry Maguire,Defender,11
Elliot Moore,Defender,11
Wes Morgan,Defender,11
Ricardo Pereira,Defender,11
Danny Simpson,Defender,11
Marc Albrighton,Midfielder,11
Daniel Amartey,Midfielder,11
Harvey Barnes,Midfielder,11
Mamza Choudhury,Midfielder,11
Fousseni Diabate,Midfielder,11
Demarai Gray,Midfielder,11
Sam Hughes,Midfielder,11
Vicente Iborra,Midfielder,11
Matty James,Midfielder,11
Bartosz Kapustka,Midfielder,11
James Maddison,Midfielder,11
Nampalys Mendy,Midfielder,11
Onyinye Wilfred Ndidi,Midfielder,11
Layton Ndukwu,Midfielder,11
Adrien Silva,Midfielder,11
George Thomas,Midfielder,11
Kelechi Iheanacho,Striker,11
Ahmed Musa,Striker,11
Shinji Okazaki,Striker,11
Raul Uche-Rubio,Striker,11
Jamie Vardy,Striker,11
Adam Bogdan,Goalkeeper,12
Loris Karius,Goalkeeper,12
Simon Mignolet,Goalkeeper,12
Danny Ward,Goalkeeper,12
Trent Alexander-Arnold,Defender,12
Nathaniel Clyne,Defender,12
Joe Gomez,Defender,12
Ragnar Klavan,Defender,12
Dejan Lovren,Defender,12
Joel Matip,Defender,12
Alberto Moreno,Defender,12
Connor Randall,Defender,12
Andrew Robertson,Defender,12
Virgil  van Dijk,Defender,12
Alex Oxlade-Chamberlain,Midfielder,12
Pedro Chirivella,Midfielder,12
Oviemuno Ejaria,Midfielder,12
 Fabinho,Midfielder,12
Marko Grujic,Midfielder,12
Jordan Henderson,Midfielder,12
Naby Keita,Midfielder,12
Ryan Kent,Midfielder,12
Adam Lallana,Midfielder,12
Lazar Markovic,Midfielder,12
James Milner,Midfielder,12
Mohamed Salah,Midfielder,12
Georginio Wijnaldum,Midfielder,12
Harry Wilson,Midfielder,12
Ben Woodburn,Midfielder,12
Rhian Brewster,Striker,12
Roberto Firmino,Striker,12
Danny Ings,Striker,12
Sadio  Mane,Striker,12
Divock Origi,Striker,12
Dominic Solanke,Striker,12
Claudio Bravo,Goalkeeper,13
Ederson Santana de Moraes,Goalkeeper,13
Oluwatosin Adarabioyo,Defender,13
Pablo Maffeo Becerra,Defender,13
 Danilo,Defender,13
Demeaco Duhaney,Defender,13
Cameron Humphreys-Grant,Defender,13
Vincent Kompany,Defender,13
Aymeric Laporte,Defender,13
Benjamin Mendy,Defender,13
Nicolas Otamendi,Defender,13
John Stones,Defender,13
Jose Angel Esmoris Tasende,Defender,13
Kyle Walker,Defender,13
Manuel Garcia Alonso,Midfielder,13
Luke Brattan,Midfielder,13
Anthony Caceres,Midfielder,13
Bersant Celina,Midfielder,13
Kevin de Bruyne,Midfielder,13
Ayotomiwa  Dele-Bashiru,Midfielder,13
Fabian Delph,Midfielder,13
Brahim Diaz,Midfielder,13
 Fernandinho,Midfielder,13
Aleix Garcia-Serrano,Midfielder,13
Ilkay Gundogan,Midfielder,13
Jack Harrison,Midfielder,13
Douglas Luiz (Soares de Pauo),Midfielder,13
Riyad Mahrez,Midfielder,13
Patrick Roberts,Midfielder,13
Leroy Sane,Midfielder,13
David Silva,Midfielder,13
Raheem Sterling,Midfielder,13
Oleksandr Zinchenko,Midfielder,13
Sergio Aguero,Striker,13
Brandon Barker,Striker,13
Phil Foden,Striker,13
Daniel Grimshaw,Striker,13
Gabriel (Fernando de) Jesus,Striker,13
Olarenwaju Kayode,Striker,13
Marlos Moreno,Striker,13
Lucas Nmecha,Striker,13
Bernardo Silva,Striker,13
Joel Castro Pereira,Goalkeeper,14
David De Gea,Goalkeeper,14
Lee Grant,Goalkeeper,14
Dean Henderson,Goalkeeper,14
Kieran O'Hara,Goalkeeper,14
Sergio Romero,Goalkeeper,14
Eric Bailly,Defender,14
Daley Blind,Defender,14
Cameron Borthwick-Jackson,Defender,14
Diego Dalot,Defender,14
Matteo Darmian,Defender,14
Phil Jones,Defender,14
Victor Lindelof,Defender,14
Demetri Mitchell,Defender,14
Regan Poole,Defender,14
Marcos Rojo,Defender,14
Luke Shaw,Defender,14
Chris Smalling,Defender,14
Axel Tuanzebe,Defender,14
Antonio Valencia,Defender,14
Ro-Shaun Williams,Defender,14
Zachery Dearnley,Midfielder,14
Marouane Fellaini,Midfielder,14
Fred(erico) Rodrigues de Paula Santos,Midfielder,14
Angel Gomes,Midfielder,14
Ander Herrera,Midfielder,14
Jesse Lingard,Midfielder,14
Juan Mata,Midfielder,14
Nemanja Matic,Midfielder,14
Scott McTominay,Midfielder,14
Andreas Pereira,Midfielder,14
Paul Pogba,Midfielder,14
Matthew Willock,Midfielder,14
Ashley Young,Midfielder,14
Romelu Lukaku,Striker,14
Anthony Martial,Striker,14
Marcus Rashford,Striker,14
Alexis Sanchez ,Striker,14
Karl Darlow,Goalkeeper,15
Martin Dubravka,Goalkeeper,15
Rob Elliott,Goalkeeper,15
Matz Sels,Goalkeeper,15
Ciaran Clark,Defender,15
Paul Dummett,Defender,15
Jesus Gamez,Defender,15
Massadio Haidara,Defender,15
Isaac Hayden,Defender,15
Jamaal Lascelles,Defender,15
Achraf Lazaar,Defender,15
Florian Lejeune,Defender,15
Javier Manquillo,Defender,15
Chancel Mbemba,Defender,15
Stefan  O'Connor,Defender,15
Jamie Sterry,Defender,15
Josef Yarney,Defender,15
DeAndre Yedlin,Defender,15
Rolando Aarons,Midfielder,15
Christian Atsu,Midfielder,15
Jack Colback,Midfielder,15
Mohamed Diame,Midfielder,15
Robert  Kenedy Nunes Nascimento,Midfielder,15
Jacob  Murphy,Midfielder,15
Matt Ritchie,Midfielder,15
Jonjo Shelvey,Midfielder,15
Ki Sung-Yeung,Midfielder,15
Dwight Gayle,Striker,15
 Joselu,Striker,15
Ayoze Perez,Striker,15
Islam Slimani,Striker,15
Ivan Toney,Striker,15
Fraser Forster,Goalkeeper,16
Angus Gunn,Goalkeeper,16
Mouez Hassen,Goalkeeper,16
Alex McCarthy,Goalkeeper,16
Jan Bednarek,Defender,16
Ryan Bertrand,Defender,16
Wesley Hoedt,Defender,16
Cedric Soares,Defender,16
Jack Stephens,Defender,16
Maya Yoshida,Defender,16
Stuart Armstrong,Midfielder,16
Sofiane  Boufal,Midfielder,16
Jordy Clasie,Midfielder,16
Steven Davis,Midfielder,16
Jake Hesketh,Midfielder,16
Pierre-Emile Hojbjerg,Midfielder,16
Mario Lemina,Midfielder,16
Sam McQueen,Midfielder,16
Nathan Redmond,Midfielder,16
Harrison Reed,Midfielder,16
Oriol Romeu,Midfielder,16
James Ward-Prowse,Midfielder,16
Charlie Austin,Striker,16
Guido Carrillo,Striker,16
Mohamed Elyounoussi,Striker,16
Manolo Gabbiadini,Striker,16
Shane Long,Striker,16
Josh Sims,Striker,16
Paulo Gazzaniga,Goalkeeper,17
Hugo Lloris,Goalkeeper,17
Michel Vorm,Goalkeeper,17
Toby Alderweireld,Defender,17
Serge Aurier,Defender,17
Cameron Carter-Vickers,Defender,17
Ben Davies,Defender,17
Eric Dier,Defender,17
Juan Foyth,Defender,17
Danny Rose,Defender,17
Davinson Sanchez-Mina,Defender,17
Kieran Trippier,Defender,17
Jan Vertonghen,Defender,17
Kyle Walker-Peters,Defender,17
Dele Alli,Midfielder,17
Mousa Dembele,Midfielder,17
Christian Eriksen,Midfielder,17
Erik Lamela,Midfielder,17
Lucas Moura,Midfielder,17
Clinton N'Jie,Midfielder,17
Joshua Onomah,Midfielder,17
Moussa Sissoko,Midfielder,17
Victor Wanyama,Midfielder,17
Harry Winks,Midfielder,17
Vincent Janssen,Striker,17
Harry Kane,Striker,17
Fernando Llorente,Striker,17
Samuel Shashoua,Striker,17
Heung-Min Son,Striker,17
Giedrius Arlauskis,Goalkeeper,18
Daniel Bachmann,Goalkeeper,18
Pontus Dahlberg,Goalkeeper,18
Ben Foster,Goalkeeper,18
Heurelho Gomes,Goalkeeper,18
Orestis Karnezis,Goalkeeper,18
Miguel Britos,Defender,18
Craig Cathcart,Defender,18
Brice Dja Djede,Defender,18
Andrew Eleftheriou,Defender,18
Pervis Estupinan,Defender,18
Tommie Hoban,Defender,18
Jose Holebas,Defender,18
Daryl Janmaat,Defender,18
Christian Kabasele,Defender,18
Younes Kaboul,Defender,18
Adrian Mariappa,Defender,18
Adam Masina,Defender,18
Marc Navarro,Defender,18
Sebastian Prodl,Defender,18
Molla  Wague,Defender,18
Ben Wilmot,Defender,18
Etienne Capoue,Midfielder,18
Andre Carrillo,Midfielder,18
Nathaniel Chalobah,Midfielder,18
Tom Cleverley,Midfielder,18
Abdoulaye Doucoure,Midfielder,18
Kiko Femenia Far,Midfielder,18
Will  Hughes,Midfielder,18
Dodi Lukebakio,Midfielder,18
Didier Ndong,Midfielder,18
Dion Pereira,Midfielder,18
Roberto Pereyra,Midfielder,18
Ken Sema,Midfielder,18
Marvin Zeegelaar,Midfielder,18
Nordin Amrabat,Striker,18
Richarlison deAndrade,Striker,18
Troy Deeney,Striker,18
Gerard Deulofeu,Striker,18
Andre Gray,Striker,18
Stefano Okaka,Striker,18
Mamadou Obbi Oulare,Striker,18
Adalberto Penaranda,Striker,18
Jerome Sinclair,Striker,18
Isaac Success,Striker,18
 Adrian,Goalkeeper,19
Lucasz Fabianski,Goalkeeper,19
Joe Hart,Goalkeeper,19
Raphael Spiegel,Goalkeeper,19
Sam Byram,Defender,19
Aaron Cresswell,Defender,19
Issa Diop,Defender,19
Ryan Fredericks,Defender,19
Arthur Masuaku,Defender,19
Angelo Ogbonna,Defender,19
Winston Reid,Defender,19
Declan Rice,Defender,19
Pablo Maffeo Zabaleta,Defender,19
Michail Antonio,Midfielder,19
Marcus Browne,Midfielder,19
Josh Cullen,Midfielder,19
Edimilson Fernandes,Midfielder,19
Sead Haksabanovic,Midfielder,19
Nathan Holland,Midfielder,19
Dan Kemp,Midfielder,19
Cheikhou Kouyate,Midfielder,19
Manuel Lanzini,Midfielder,19
Moses Makasi,Midfielder,19
Joao Mario,Midfielder,19
Mark Noble,Midfielder,19
Pedro Obiang,Midfielder,19
Reece Oxford,Midfielder,19
Domingos Quina,Midfielder,19
Robert Snodgrass,Midfielder,19
Jack Wilshere,Midfielder,19
Marko Arnautovic,Striker,19
Andy Carroll,Striker,19
Javier Hernandez,Striker,19
Jordan Hugill,Striker,19
Toni Martinez-Lopez,Striker,19
Alex Pike,Striker,19
Andriy Yarmolenko,Striker,19
Carl Ikeme,Goalkeeper,20
Will  Norris,Goalkeeper,20
Rui Patricio,Goalkeeper,20
John Ruddy,Goalkeeper,20
Danny Batth,Defender,20
Ryan Bennett,Defender,20
Willy Boly,Defender,20
Conor Cody,Defender,20
Matt Doherty,Defender,20
Barry Douglas,Defender,20
Kourtney Hause,Defender,20
Phil Ofosu-Ayeh,Defender,20
 Roderick,Defender,20
Romain Saiss,Defender,20
Ruben Vinagre,Defender,20
Oskar Buur,Midfielder,20
Morgan Gibbs-White,Midfielder,20
Pedro Goncalves,Midfielder,20
Jordan Graham,Midfielder,20
Diogo Jose Jota,Midfielder,20
Alfred N'Diaye,Midfielder,20
Ruben Neves,Midfielder,20
Benik Afobe,Striker,20
Lohner Leo Bonatini,Striker,20
Ivan Cavaleiro,Striker,20
Wander Helder Costa,Striker,20
Bright Enobakhare,Striker,20
Raul Jimenez,Striker,20
Rafael Mir Vincente,Striker,20
